Artist Name,Genres,Popularity,Followers Count
Pralhad Timilsina,nepali pop,10,426
Human Acharya,,12,766
Lakpa Sherpa,classic nepali pop,3,302
Saswot Shrestha,nepali pop,18,851
Almoda Rana Upreti,,7,28
Bharati Ghimire,,11,63
Subha Tamang,nepali pop,15,305
Jhuma Limbu,,2,331
Deepa Jha,classic nepali pop,8,252
Kush Band Nepal,"nepali indie, nepali rock",15,5113
Udit Naran Jha,,5,111
Saroj Pokharel,nepali pop,14,1579
Nhyoo Bajracharya,,15,159
Dipa Lama,,9,16
David Shankar,,6,125
Nischal Dawadi,,15,308
Pashupati Sharma,nepali pop,15,6186
Lisson Khadka,,18,2119
Deepak Bajracharya,,9,664
Ramana Shrestha,,10,71
Simon Pradhan,,9,11
Samjhana Bhandari,nepali pop,13,1336
Beyond the Clouds,,19,114
Abun Pandey,,3,52
Preezol Nepali,,3,67
Vickey Prasad,,19,85
Manas Ghale,nephop,18,10959
Rudra Mani,,7,8
Jhapalish,,20,126
Satya Kala Rai,classic nepali pop,6,358
Kulendra Bishwakarma,lok dohori,10,1101
VZN,nepali indie,17,6998
Suresh Gaire,nepali pop,16,359
Mings Lama,,6,174
Kumar Basnet,classic nepali pop,8,1677
Mandavi Tripathi,,12,152
Om Bikram Bista,classic nepali pop,8,626
Umesh Pande,,6,24
Mandavi Tripathi,,12,152
Om Bikram Bista,classic nepali pop,8,626
Umesh Pande,,6,24
Yabesh Thapa,,21,1204
Sumina Lo,,13,90
Khadga Garbuja,,9,184
Benisha Poudel,nepali pop,14,432
NIMA RUMBA,"classic nepali pop, nepali pop",14,1242
Abiral Bhujel,,15,136
Subani Moktan,classic nepali pop,13,342
Deepa Narayan Jha,,15,107
Suresh Adhikari,classic nepali pop,11,271
M-zee Trix,nephop,24,4737
Krishna Kafle,,8,104
New Life Kathmandu,,16,1755
5:55,,10,1230
Shubha Shambhujeet,,12,6
Atma,,8,113
Satya Raj Acharya,classic nepali pop,8,1773
Anuprastha,nepali indie,17,12760
Raj Kusmy,,20,2001
Nishan Bhattarai,"classic nepali pop, nepali pop",8,743
Numa Subba,,7,10
Praz Khanal,,8,6694
Bhumika Giri,,15,312
Somiya Baraili,,13,45
Badri Pangeni,"classic nepali pop, lok dohori",8,835
Laxmi Thapa,,10,233
Nisha Deshar,,12,96
Amrit Gurung,classic nepali pop,3,2310
Suman Gurung,,10,132
Nepali Bhajan,,2,696
UJAN SHAKYA,,10,228
Bibek Nepal,,3,13
Chintu Rimal,nepali pop,14,660
Sunita subba,classic nepali pop,7,321
Manas Raj,nepali pop,12,203
Riko Lama,,10,847
Sarun Tamrakar,,14,8
Mingma Sherpa,classic nepali pop,5,418
Sagar Sansar Rai,,11,185
Tara Thapa,classic nepali pop,9,112
Nabin Rawal,,12,71
Tara Devi,classic nepali pop,9,13939
Milan Newar Amatya,,7,32
Sanjeev Singh,classic nepali pop,11,9324
Smita Dahal,"classic nepali pop, nepali pop",10,995
Sahima Shrestha,,6,70
Suraj Rt,,18,196
Suk Gurung,,5,13
Laxmi Neupane,lok dohori,8,446
Uday Nepali,,3,38
UshaKiran Adhikari,classic nepali pop,7,694
Kamali Kanta Bhetuwal,classic nepali pop,7,441
Sujata Verma,,8,25
Mamata Dipbim,classic nepali pop,8,374
Prince Leo,,6,42
Jayan J. Waiba,,9,40
Indrakala Rai,,10,63
Sobhit,,8,5
Jitendra Bardewa,,9,12
Mr RJ,,13,987
Uddav,,5,4
Niva Dangol,,7,150
Bindu Pariyar,nepali pop,12,364
Melina Mainali,nepali pop,11,479
Birendra Dong,,9,330
Nepsek,,3,152
Suyog Sotang,,8,6
Pakku Panda,nephop,20,12898
Rikesh Gurung Keys,nepali pop,11,11151
Abhaya Dutta,,3,1
Sharmila Bardewa,,7,76
Annu Chaudary,,10,384
Kala Suptihang Rai,,11,493
Abboye,,12,288
Utpal Kandel,,9,10
Yash Kumar,,13,465
Ashish Mahar,,11,190
Suresh Lama,,11,308
Aashusen Lama,,6,24
BIREN,,19,48
Narendra Pyasi,classic nepali pop,11,874
Suraj Nepal,,4,310
Dil Maya Khati,,6,63
Madhyanha Band,classic nepali pop,8,385
Sagar Bal,,7,90
Sushant Khatri,,7,441
Rakesh Karkidoli,,4,76
Suman KC,nepali pop,10,1073
Raju Bishowkarma,,5,2
Salin Magar,,6,97
Ramila Neupane,,6,9
Santosh Lama,,5,99
Jhalak Man Gandharba,"classic nepali pop, lok dohori",8,1753
John Rai,,13,7
Chattyangz,,9,16
Ethos Band,,8,79
Rajan Raj Shiwakoti,,11,28
Tilak Singh Pela,,4,355
Mansingh Thulung,,3,0
Ujan Shakya,,11,442
Aagantuk Kharel,,4,20
Thaneshwor Gautam,,6,316
Yogesh Baidhya,,6,96
Pranil Timilsina,,7,19
Lama Ngodup Jungney,,2,38
Deeya Gurung,,5,15
Suman Thapa Magar,,9,369
Mira Rana,classic nepali pop,3,151
Sandip Neupane,,8,214
Anxmus,,8,151
Jems Pradhan,classic nepali pop,6,712
Laxmi Adhikari,,2,47
Prakash Parajuli,,9,586
Subhash Puri,,10,253
Saurab Tamang,,6,107
Durga Kharel,,7,111
Jibesh Gurung,,9,20
